Country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
European Union - 27 countries (from 2020),9.61,10.18,10.78,11.75,12.55,13.85,14.41,14.55,16,16.66,17.42,17.82,17.98,18.41,19.1,19.89,22.09
Euro area - 19 countries  (from 2015),8.37,8.93,9.61,10.62,11.45,12.63,13.15,13.11,14.6,15.23,16.03,16.44,16.65,17.22,17.72,18.5,20.95
Belgium,1.92,2.33,2.66,3.14,3.61,4.75,6,6.3,7.09,7.67,8.04,8.06,8.74,9.14,9.47,9.93,13
Bulgaria,9.23,9.17,9.42,9.1,10.35,12.01,13.93,14.15,15.84,18.9,18.05,18.26,18.76,18.7,20.58,21.55,23.32
Czechia,6.77,7.11,7.36,7.9,8.67,9.98,10.51,10.95,12.81,13.93,15.07,15.07,14.93,14.8,15.14,16.24,17.3
Denmark,14.84,15.96,16.33,17.75,18.54,19.95,21.89,23.39,25.47,27.17,29.31,30.47,31.72,34.39,35.16,37.02,31.65
Germany,6.21,7.17,8.47,10.04,10.07,10.85,11.67,12.47,13.55,13.76,14.39,14.91,14.89,15.48,16.66,17.27,19.31
Estonia,18.42,17.48,16.01,17.14,18.81,23.01,24.58,25.52,25.59,25.36,26.13,28.99,29.23,29.54,29.97,31.73,30.07
Ireland,2.38,2.82,3.07,3.5,3.98,5.24,5.76,6.61,7.03,7.52,8.52,9.08,9.19,10.52,10.94,11.98,16.16
Greece,7.16,7.28,7.46,8.25,8.18,8.73,10.08,11.15,13.74,15.33,15.68,15.69,15.39,17.3,18,19.63,21.75
Spain,8.35,8.44,9.16,9.67,10.74,12.96,13.78,13.18,14.24,15.08,15.88,16.22,17.02,17.12,17.02,17.85,21.22
France,9.32,9.27,8.94,9.43,11.19,12.22,12.67,10.81,13.24,13.88,14.36,14.8,15.45,15.85,16.38,17.17,19.11
Croatia,23.4,23.69,22.67,22.16,21.99,23.6,25.1,25.39,26.76,28.04,27.82,28.97,28.27,27.28,28.05,28.47,31.02
Italy,6.32,7.55,8.33,9.81,11.49,12.78,13.02,12.88,15.44,16.74,17.08,17.53,17.42,18.27,17.8,18.18,20.36
Cyprus,3.07,3.13,3.26,4,5.13,5.92,6.16,6.25,7.11,8.43,9.14,9.9,9.83,10.48,13.87,13.78,16.88
Latvia,32.79,32.26,31.14,29.62,29.81,34.32,30.38,33.48,35.71,37.04,38.63,37.54,37.14,39.01,40.02,40.93,42.13
Lithuania,17.22,16.77,16.89,16.48,17.83,19.8,19.64,19.94,21.44,22.69,23.59,25.75,25.61,26.04,24.7,25.48,26.77
Luxembourg,0.9,1.4,1.47,2.73,2.81,2.93,2.85,2.86,3.11,3.49,4.47,4.99,5.36,6.19,8.94,7.05,11.7
Hungary,4.36,6.93,7.43,8.58,8.56,11.67,12.74,13.97,15.53,16.21,14.62,14.5,14.38,13.56,12.55,12.63,13.85
Malta,0.1,0.12,0.15,0.18,0.2,0.22,0.98,1.85,2.86,3.76,4.74,5.12,6.21,7.22,7.91,8.23,10.71
Netherlands,2.03,2.48,2.78,3.3,3.6,4.27,3.92,4.52,4.66,4.69,5.42,5.71,5.85,6.51,7.39,8.89,14
Austria,22.55,24.35,26.28,28.14,28.79,31.04,31.21,31.55,32.73,32.67,33.55,33.5,33.37,33.14,33.78,33.76,36.55
Poland,6.88,6.87,6.86,6.9,7.69,8.68,9.28,10.34,10.96,11.45,11.61,11.88,11.4,11.06,14.94,15.38,16.1
Portugal,19.21,19.52,20.79,21.91,22.93,24.41,24.15,24.6,24.57,25.7,29.51,30.51,30.86,30.61,30.2,30.62,33.98
Romania,16.81,17.57,17.1,18.2,20.2,22.16,22.83,21.74,22.83,23.89,24.85,24.79,25.03,24.45,23.88,24.29,24.48
Slovenia,18.4,19.81,18.42,19.68,18.65,20.77,21.08,20.94,21.55,23.16,22.46,22.88,21.98,21.66,21.38,21.97,25
Slovakia,6.39,6.36,6.58,7.77,7.72,9.37,9.1,10.35,10.45,10.13,11.71,12.88,12.03,11.47,11.9,16.89,17.35
Finland,29.23,28.81,30.04,29.56,31.07,31.05,32.17,32.53,34.22,36.63,38.63,39.23,38.94,40.86,41.18,42.72,43.8
Sweden,38.43,39.98,41.73,43.22,43.92,47.02,46.1,47.63,49.4,50.15,51.15,52.22,52.6,53.39,53.92,55.79,60.12
Iceland,58.9,60.27,60.92,71.93,67.98,70.24,70.91,72.3,73.73,73.79,73.04,71.95,75.33,74.1,77.17,78.61,83.73
Norway,58.42,60.07,60.52,60.4,62,65.07,61.89,64.64,64.93,66.48,68.41,68.55,69.24,70.04,71.57,74.41,77.36
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,1.1,1.28,1.49,1.74,2.81,3.45,3.86,4.39,4.46,5.52,6.74,8.39,9.03,9.86,11.14,12.34,0
Montenegro,0,35.69,34.84,32.93,32.29,39.37,40.64,40.65,41.51,43.7,44.1,43.07,41.53,39.69,38.8,37.72,43.77
North Macedonia,15.7,16.47,16.53,14.98,15.56,17.24,16.45,16.41,18.13,18.51,19.56,19.53,18.04,19.64,18.18,17.49,19.22
Albania,29.62,31.37,32.07,32.66,32.45,31.44,31.87,31.19,35.15,33.17,31.86,34.91,36.95,35.78,36.57,38.04,45.02
Serbia,12.72,14.26,14.54,14.33,15.89,21.02,19.76,19.12,20.79,21.1,22.86,21.99,21.15,20.29,20.32,21.44,25.98
Bosnia and Herzegovina,20.27,19.75,19.21,18.7,16.71,18.47,18.71,18,18.01,19.31,24.87,26.61,25.36,23.24,35.97,37.58,0
Kosovo (under United Nations Security Council Resolution 1244/99),20.54,19.77,19.51,18.81,18.43,18.23,18.23,17.6,18.63,18.82,19.54,18.48,24.47,23.08,24.62,24.22,24.4
